PLC,Model,Fault,Diagnostic,Corrective Action
emerson,model e,cracked glass failure,broken or cracked glass electrode,replace electrode if cracked
emerson,model e,cracked glass failure,broken or cracked glass electrode,check wiring for short
emerson,model e,zero offset error,reference electrode poisoned,replace reference electorode
emerson,model e,high reference imped,coated reference electrode,clean electrode as instructed in sensor manual
emerson,model e,high reference imped,sensor out of process,clean electrode as instructed in sensor manual
emerson,model e,temp error high temp error low,open or shorted rtd,"
verify sensors rtd resistance vs temperature"
emerson,model e,temp error high temp error low,temperature out of range,standardize the temperature verify temperature reading to be correct
emerson,model e,calibration warning,calibration suggested due to change in glass,perform calibration replace if calibration unsuccessful
emerson,model e,calibration warning,sensor out of process,check sensor in buffers 
emerson,model e,old glass warning,glass electrode worn out,replace glass electrode
emerson,model e,old glass warning,sensor out of process,check sensor in buffers replace if calibration unsuccessful
emerson,model e,lo slope error hi slope error, worn out electrode,"if the electrode is worn out replace 
electrode"
emerson,model e,lo slope error hi slope error,improper buffer calibration ,check buffer accuracy wait for stabilization in buffers
emerson,model e,lo slope error hi slope error,plugged liquid junctioncoated glass,clean coated glass with soft cloth and clean water
emerson,model e,sensor line open,open wire between sensor and controller,check the wiring between the sensor and controller
emerson,model e,sensor line open,distance between sensor and controller is too long,use a junction box where the distance between the sensor and controller is too long
emerson,model e,failure  eeprom failure  cpu failure  factory,defective cpu board notify rosemount if cycling power does not clear the fault,replace the cpu board
emerson,model e,failure  rom,bad rom chip on cpu board,replace the rom chip
emerson,model e,field cal needed,output  and  need adjustment,adjust the setpoints for output  and 
emerson,model e,hold mode activated operator activated,all relays open and outputs set to default values,to remove from hold press any key and then press enter f press edit f change on to off and press save f
emerson,model e,high input voltage,open connection from preamplifier to controller,check the connection between the preamplifier and controller
emerson,model e,low input voltage,open connection from glass electrode to preamplifier,check the connection between the glass electorode and preamplifier
emerson,model e,high reference voltage,sensor not in process,check sensor in buffers replace if calibration unsuccessful
emerson,model e,high reference voltage,coated sensor,clean the sensor
emerson,model e,high reference voltage,open wire between preamplifier and controller,check the wiring between the preamplifier and controller
emerson,model e,"simulating output  or 
simulating alarm    or ",the indicated output or alarm is being tested,to stop simulation press exit f
emerson,model e,feed limit alarm   or ,indicated alarm has been on for longer than its limit and has been turned off,press f ack key to return the controller to normal operations
emerson,model e,sluggish or slow display indication for real changes in ph level,electrode coated,clean electrode as instructed in sensor manual
emerson,model e,wait flashing continuously,no stabilization during auto buffer calibration,readjust stabilization ph or time for auto cal
emerson,model e,wait flashing continuously,no stabilization during auto buffer calibration,clean the sensor and retry auto cal in buffers
emerson,model e,wait flashing continuously,no stabilization during auto buffer calibration,try a manual buffer calibration
emerson,model e,alarm relay closure,alarm relays wont close,check power board
emerson,model e,power board cutoff,power board is not working,replace the power board
emerson,model e,segmented display,the display is missing segments,replace the display board
emerson,model e,analyzer locks up,analyzer not responding,replace the cpu board
emerson,model e,erratic display and relays chattering,the alarm setpoints are not configured properly,check alarm set points configuration
emerson,model e,analyzer key press malfunction,analyzer not responding to key presses,verify and clean ribbon cable connection on cpu board
emerson,model e,analyzer key press malfunction,key press gives wrong selection,replace enclosure doorkeyboard assembly
emerson,model e,power output issue,wrong or no current output,verify that output is not being overloaded
emerson,model e,power output issue,wrong or no current output,rearrange outputs
emerson,model e,power output issue,wrong or no current output,replace the power board
emerson,model e,no display or indocators,there is an issue with the removable fuse module,verify that the removable fuse modeule is securely seated
emerson,model e,controller completely inoperative,no power,check power supply at breaker and inside controller
emerson,model e,controller completely inoperative,cutoff circuit,check power supply
emerson,model e,controller completely inoperative,electronics failure,replace the electronics
emerson,model e,controller operating but ading chemical above setpoint or not adding below setpoint or not holding setpoint,incorrect or changed settings,verify that control parameters are correct and entered properly
emerson,model e,controller operating but ading chemical above setpoint or not adding below setpoint or not holding setpoint,electronics failure,try power down and powe backreplace electronics if necessary
emerson,model e,ph value locks up,glass electrode cracked,replace glass electrode
emerson,model e,ph value locks up,coated glass electrode,clean glass electrode
emerson,model e,display reads off scale,reference depleted,replace reference electrolyte
emerson,model e,display reads off scale,defective preamplifier,check preamplifier replace if preamplifier is defective
emerson,model e,display reads off scale,electrode not in process solution,make sure sensor is in solution
emerson,model e,display reads off scale,open circuit within glass electrode,replace reference junction
emerson,model e,display reads off scale,plugged reference,recharge reference solution
emerson,model e,inability to change parameters in the controller,password protected,enter the correct password to make changes in the controller
emerson,model hp,calibration warning,aged glass,perform buffer calibration
emerson,model hp,calibration warning,sensor not immersed,be sure electrode measuring tip is in the process
emerson,model hp,cracked glass failure,broken or cracked glass,replace sensor
emerson,model hp,input voltage high input voltage low,ph input shorted or sensor miswired,check wiring replace sensor if necessary
emerson,model hp,old glass warning,glass electrode worn out,replace sensor
emerson,model hp,old glass warning,sensor not immersed,be sure electrode measuring tip is in process
emerson,model hp,reference offset error,reference electrode poisoned,replace sensor
emerson,model hp,ref voltage high ref voltage low,reference shorted or sensor miswired,check wiring replace sensor if necessary
emerson,model hp,ref voltage high ref voltage low,sensor not immersed,be sure electrode measuring tip is in process
emerson,model hp,sensor line open,open wire between sensor and analyzer,check sensor wiring
emerson,model hp,sensor line open,interconnecting cable greater than ft,relocate analyzer
emerson,model hp,sensor miswired,open wire between sensor and analyzer,check wiring
emerson,model hp,sensor miswired,bad preamplifier,replace preamplifier
emerson,model hp,temp error high temp error low,open or shorted rtd,replace sensor
emerson,model hp,temp error high temp error low,temperature out of range,check process temperature
emerson,model hp,sluggish or slow display indication for real changes in ph level,glass electrode coated,clean electrode as instructed in sensor manual
emerson,model hp,meter indication swings widely,temperature compensator shorted,check temperature compensator resistance
emerson,model hp,electrode cannot be standardized,glass electrode coated,clean the electrode
emerson,model hp,electrode cannot be standardized,reference electrode contaminated,recharge and inspect the reference electrode
emerson,model hp,electrode cannot be standardized,defective preamplifier,check preamplifier and replace if defective
emerson,model hp,electrode cannot be standardized,bias control in analyzer improperly set or mistakenly adjusted,consult analyzer manual
emerson,model hp,span between  buffers extremely short in auto tc mode,temperature compensator open,check tc resistance
emerson,model hp,span between  buffers extremely short in auto tc mode,foam junction in space,use wood junction for buffer calibration
emerson,model hp,meter reads off scale,defective preamplifier,check preamplifier replace if preamplifier is defective
emerson,model hp,meter reads off scale,temperature compensator shorted with solution below  ph in auto tc mode,check temperature compensator resistance
emerson,model hp,meter reads off scale,reference and drain leads shorted miswired model   only,correct wiring
emerson,model hp,meter reads off scale,broken glass electrode,replace glass electrode
emerson,model hp,meter reads off scale,plugged liquid junction,replace liquid junction
emerson,model hp,meter reads off scale,drain and source leads between preamp and analyzer open broken wires model   only,correct wiring
emerson,model hp,meter reads off scale,broken reference electrode,replace electrode and recharge ref cell
emerson,model hp,meter reads off scale,glass or reference lead open,repair wiring check for coated or plugged liquid junction
emerson,model hp,meter reads off scale,electrode not in process solution,make sure sensor is in solution
