,Corrective Action,PLC,Model,fault,diagnostic
0,replace electrode if cracked.,Emerson,Model 54e,cracked glass failure,broken cracked glass electrode
1,check wiring for short.,Emerson,Model 54e,cracked glass failure,broken cracked glass electrode
2,replace reference electorode,Emerson,Model 54e,zero offset error,reference electrode poisoned
3,clean electrode as instructed in sensor manual,Emerson,Model 54e,high reference imped,coated reference electrode
4,clean electrode as instructed in sensor manual,Emerson,Model 54e,high reference imped,sensor process.
5,"
verify sensor's rtd resistance vs. temperature",Emerson,Model 54e,"temp error high, temp error low",open shorted rtd
6,"standardize the temperature, verify temperature reading to be correct",Emerson,Model 54e,"temp error high, temp error low",temperature range
7,"perform calibration, replace if calibration unsuccessful.",Emerson,Model 54e,calibration warning,calibration suggested due change glass
8,check sensor in buffers; ,Emerson,Model 54e,calibration warning,sensor process
9,replace glass electrode.,Emerson,Model 54e,old glass warning,glass electrode worn
10,check sensor in buffers; replace if calibration unsuccessful.,Emerson,Model 54e,old glass warning,sensor process
11,"if the electrode is worn out, replace 
electrode.",Emerson,Model 54e,"lo slope error, hi slope error",worn electrode
12,"check buffer accuracy, wait for stabilization in buffers",Emerson,Model 54e,"lo slope error, hi slope error",improper buffer calibration
13,clean coated glass with soft cloth and clean water.,Emerson,Model 54e,"lo slope error, hi slope error",plugged liquid junction/coated glass
14,check the wiring between the sensor and controller,Emerson,Model 54e,sensor line open,open wire sensor controller.
15,use a junction box where the distance between the sensor and controller is too long.,Emerson,Model 54e,sensor line open,distance sensor controller long.
16,replace the cpu board,Emerson,Model 54e,"failure - eeprom, failure - cpu, failure - factory",defective cpu board. notify rosemount cycling power clear fault
17,"replace the ""rom"" chip",Emerson,Model 54e,failure - rom,"bad ""rom"" chip cpu board"
18,adjust the setpoints for output 1 and 2,Emerson,Model 54e,field cal needed,output 1 2 need adjustment
19,"to remove from hold, press any key and then press enter (f4). press edit (f4), change ""on"" to off"", and press save (f4).",Emerson,Model 54e,hold mode activated (operator activated),relay open output set default value
20,check the connection between the preamplifier and controller.,Emerson,Model 54e,high input voltage,open connection preamplifier controller.
21,check the connection between the glass electorode and preamplifier.,Emerson,Model 54e,low input voltage,open connection glass electrode preamplifier.
22,check sensor in buffers; replace if calibration unsuccessful.,Emerson,Model 54e,high reference voltage,sensor process
23,clean the sensor,Emerson,Model 54e,high reference voltage,coated sensor
