,Corrective Action,PLC,Model,fault,diagnostic
0,replace electrode if cracked.,emerson,model 54,cracked glass failur,broken cracked glass electrod
1,check wiring for short.,emerson,model 54,cracked glass failur,broken cracked glass electrod
2,replace reference electorode,emerson,model 54,zero offset error,reference electrode poison
3,clean electrode as instructed in sensor manual,emerson,model 54,high reference imp,coated reference electrod
4,clean electrode as instructed in sensor manual,emerson,model 54,high reference imp,sensor process.
5,"
verify sensor's rtd resistance vs. temperature",emerson,model 54,"temp error high, temp error low",open shorted rtd
6,"standardize the temperature, verify temperature reading to be correct",emerson,model 54,"temp error high, temp error low",temperature rang
7,"perform calibration, replace if calibration unsuccessful.",emerson,model 54,calibration warn,calibration suggested due change glass
8,check sensor in buffers; ,emerson,model 54,calibration warn,sensor process
9,replace glass electrode.,emerson,model 54,old glass warn,glass electrode worn
10,check sensor in buffers; replace if calibration unsuccessful.,emerson,model 54,old glass warn,sensor process
11,"if the electrode is worn out, replace 
electrode.",emerson,model 54,"lo slope error, hi slope error",worn electrod
12,"check buffer accuracy, wait for stabilization in buffers",emerson,model 54,"lo slope error, hi slope error",improper buffer calibr
13,clean coated glass with soft cloth and clean water.,emerson,model 54,"lo slope error, hi slope error",plugged liquid junction/coated glass
14,check the wiring between the sensor and controller,emerson,model 54,sensor line open,open wire sensor controller.
15,use a junction box where the distance between the sensor and controller is too long.,emerson,model 54,sensor line open,distance sensor controller long.
16,replace the cpu board,emerson,model 54,"failure - eeprom, failure - cpu, failure - factori",defective cpu board. notify rosemount cycling power clear fault
17,"replace the ""rom"" chip",emerson,model 54,failure - rom,"bad ""rom"" chip cpu board"
18,adjust the setpoints for output 1 and 2,emerson,model 54,field cal need,output 1 2 need adjust
19,"to remove from hold, press any key and then press enter (f4). press edit (f4), change ""on"" to off"", and press save (f4).",emerson,model 54,hold mode activated (operator activated),relays open outputs set default valu
20,check the connection between the preamplifier and controller.,emerson,model 54,high input voltag,open connection preamplifier controller.
21,check the connection between the glass electorode and preamplifier.,emerson,model 54,low input voltag,open connection glass electrode preamplifier.
22,check sensor in buffers; replace if calibration unsuccessful.,emerson,model 54,high reference voltag,sensor process
23,clean the sensor,emerson,model 54,high reference voltag,coated sensor
24,check the wiring between the preamplifier and controller.,emerson,model 54,high reference voltag,open wire preamplifier control
25,"to stop simulation, press exit (f1)",emerson,model 54,"simulating output 1 2 simulating alarm 1, 2, 3, 4",indicated output alarm test
26,press f2 (ack) key to return the controller to normal operations.,emerson,model 54,"feed limit alarm 1, 2, 3",indicated alarm longer limit turned off.
