,Fault,Diagnostic,Corrective Action,PLC,Model
0,cracked glass failure,broken or cracked glass electrode,replace electrode if cracked.,Emerson,Model 54e
1,cracked glass failure,broken or cracked glass electrode,check wiring for short.,Emerson,Model 54e
2,zero offset error,reference electrode poisoned,replace reference electorode,Emerson,Model 54e
3,high reference imped,coated reference electrode,clean electrode as instructed in sensor manual,Emerson,Model 54e
4,high reference imped,sensor out of process.,clean electrode as instructed in sensor manual,Emerson,Model 54e
5,"temp error high, temp error low",open or shorted rtd,"
verify sensor's rtd resistance vs. temperature",Emerson,Model 54e
6,"temp error high, temp error low",temperature out of range,"standardize the temperature, verify temperature reading to be correct",Emerson,Model 54e
7,calibration warning,calibration suggested due to change in glass,"perform calibration, replace if calibration unsuccessful.",Emerson,Model 54e
8,calibration warning,sensor out of process,check sensor in buffers; ,Emerson,Model 54e
9,old glass warning,glass electrode worn out,replace glass electrode.,Emerson,Model 54e
10,old glass warning,sensor out of process,check sensor in buffers; replace if calibration unsuccessful.,Emerson,Model 54e
11,"lo slope error, hi slope error", worn out electrode,"if the electrode is worn out, replace 
electrode.",Emerson,Model 54e
12,"lo slope error, hi slope error",improper buffer calibration ,"check buffer accuracy, wait for stabilization in buffers",Emerson,Model 54e
13,"lo slope error, hi slope error",plugged liquid junction/coated glass,clean coated glass with soft cloth and clean water.,Emerson,Model 54e
14,sensor line open,open wire between sensor and controller.,check the wiring between the sensor and controller,Emerson,Model 54e
15,sensor line open,distance between sensor and controller is too long.,use a junction box where the distance between the sensor and controller is too long.,Emerson,Model 54e
16,"failure - eeprom, failure - cpu, failure - factory",defective cpu board. notify rosemount if cycling power does not clear the fault,replace the cpu board,Emerson,Model 54e
17,failure - rom,"bad ""rom"" chip on cpu board","replace the ""rom"" chip",Emerson,Model 54e
18,field cal needed,output 1 and 2 need adjustment,adjust the setpoints for output 1 and 2,Emerson,Model 54e
19,hold mode activated (operator activated),all relays open and outputs set to default values,"to remove from hold, press any key and then press enter (f4). press edit (f4), change ""on"" to off"", and press save (f4).",Emerson,Model 54e
20,high input voltage,open connection from preamplifier to controller.,check the connection between the preamplifier and controller.,Emerson,Model 54e
21,low input voltage,open connection from glass electrode to preamplifier.,check the connection between the glass electorode and preamplifier.,Emerson,Model 54e
22,high reference voltage,sensor not in process,check sensor in buffers; replace if calibration unsuccessful.,Emerson,Model 54e
23,high reference voltage,coated sensor,clean the sensor,Emerson,Model 54e
24,high reference voltage,open wire between preamplifier and controller,check the wiring between the preamplifier and controller.,Emerson,Model 54e
25,"simulating output 1 or 2
simulating alarm 1, 2, 3, or 4",the indicated output or alarm is being tested,"to stop simulation, press exit (f1)",Emerson,Model 54e
26,"feed limit alarm 1, 2, or 3",indicated alarm has been on for longer than it's limit and has been turned off.,press f2 (ack) key to return the controller to normal operations.,Emerson,Model 54e
27,sluggish or slow display indication for real changes in ph level.,electrode coated,clean electrode as instructed in sensor manual,Emerson,Model 54e
28,"""wait"" flashing continuously",no stabilization during auto buffer calibration,readjust stabilization ph or time for auto cal.,Emerson,Model 54e
29,"""wait"" flashing continuously",no stabilization during auto buffer calibration,clean the sensor and retry auto cal in buffers.,Emerson,Model 54e
30,"""wait"" flashing continuously",no stabilization during auto buffer calibration,try a manual buffer calibration.,Emerson,Model 54e
31,alarm relay closure,alarm relays won't close,check power board,Emerson,Model 54e
32,power board cut-off,power board is not working.,replace the power board,Emerson,Model 54e
33,segmented display,the display is missing segments.,replace the display board.,Emerson,Model 54e
34,analyzer locks up.,analyzer not responding.,replace the cpu board,Emerson,Model 54e
35,erratic display and relays chattering,the alarm setpoints are not configured properly.,"check alarm set points, configuration",Emerson,Model 54e
36,analyzer key press malfunction,analyzer not responding to key presses.,verify and clean ribbon cable connection on cpu board,Emerson,Model 54e
37,analyzer key press malfunction,key press gives wrong selection,replace enclosure door/keyboard assembly,Emerson,Model 54e
38,power output issue,wrong or no current output,verify that output is not being overloaded,Emerson,Model 54e
39,power output issue,wrong or no current output,rearrange outputs,Emerson,Model 54e
40,power output issue,wrong or no current output,replace the power board,Emerson,Model 54e
41,no display or indocators,there is an issue with the removable fuse module,verify that the removable fuse modeule is securely seated.,Emerson,Model 54e
42,controller completely inoperative,no power,check power supply at breaker and inside controller,Emerson,Model 54e
43,controller completely inoperative,cut-off circuit,check power supply,Emerson,Model 54e
44,controller completely inoperative,electronics failure,replace the electronics,Emerson,Model 54e
45,"controller operating, but ading chemical above setpoint, or not adding below setpoint or not holding setpoint",incorrect or changed settings.,verify that control parameters are correct and entered properly,Emerson,Model 54e
46,"controller operating, but ading chemical above setpoint, or not adding below setpoint or not holding setpoint",electronics failure,try power down and powe back.replace electronics if necessary,Emerson,Model 54e
47,ph value locks up,glass electrode cracked,replace glass electrode,Emerson,Model 54e
48,ph value locks up,coated glass electrode,clean glass electrode,Emerson,Model 54e
49,display reads off scale,reference depleted,replace reference electrolyte,Emerson,Model 54e
50,display reads off scale,defective preamplifier,"check preamplifier, replace if preamplifier is defective",Emerson,Model 54e
51,display reads off scale,electrode not in process solution,make sure sensor is in solution,Emerson,Model 54e
52,display reads off scale,open circuit within glass electrode,replace reference junction,Emerson,Model 54e
53,display reads off scale,plugged reference,recharge reference solution,Emerson,Model 54e
54,inability to change parameters in the controller,password protected,enter the correct password to make changes in the controller,Emerson,Model 54e
55,calibration warning,aged glass,perform buffer calibration.,Emerson,Model 320hp
56,calibration warning,sensor not immersed,be sure electrode measuring tip is in the process.,Emerson,Model 320hp
57,cracked glass failure,broken or cracked glass,replace sensor.,Emerson,Model 320hp
58,"input voltage high, input voltage low",ph input shorted or sensor miswired,check wiring. replace sensor if necessary.,Emerson,Model 320hp
59,old glass warning,glass electrode worn out,replace sensor,Emerson,Model 320hp
60,old glass warning,sensor not immersed.,be sure electrode measuring tip is in process..,Emerson,Model 320hp
61,reference offset error,reference electrode poisoned,replace sensor,Emerson,Model 320hp
62,"ref voltage high, ref voltage low",reference shorted or sensor miswired,check wiring. replace sensor if necessary.,Emerson,Model 320hp
63,"ref voltage high, ref voltage low",sensor not immersed,be sure electrode measuring tip is in process..,Emerson,Model 320hp
64,sensor line open,open wire between sensor and analyzer.,check sensor wiring,Emerson,Model 320hp
65,sensor line open,interconnecting cable greater than 1000ft,relocate analyzer,Emerson,Model 320hp
66,sensor miswired,open wire between sensor and analyzer.,check wiring.,Emerson,Model 320hp
67,sensor miswired,bad preamplifier,replace preamplifier,Emerson,Model 320hp
68,"temp error high, temp error low",open or shorted rtd.,replace sensor.,Emerson,Model 320hp
69,"temp error high, temp error low",temperature out of range.,check process temperature.,Emerson,Model 320hp
70,sluggish or slow display indication for real changes in ph level.,glass electrode coated,clean electrode as instructed in sensor manual,Emerson,Model 320hp
71,meter indication swings widely,temperature compensator shorted,check temperature compensator resistance,Emerson,Model 320hp
72,electrode cannot be standardized,glass electrode coated,clean the electrode,Emerson,Model 320hp
73,electrode cannot be standardized,reference electrode contaminated.,recharge and inspect the reference electrode,Emerson,Model 320hp
74,electrode cannot be standardized,defective preamplifier,check preamplifier and replace if defective.,Emerson,Model 320hp
75,electrode cannot be standardized,bias control in analyzer improperly set or mistakenly adjusted,consult analyzer manual,Emerson,Model 320hp
76,span between  buffers extremely short in auto t.c. mode,temperature compensator open,check t.c. resistance,Emerson,Model 320hp
77,span between  buffers extremely short in auto t.c. mode,foam junction in space,use wood junction for buffer calibration,Emerson,Model 320hp
78,meter reads off scale,defective preamplifier,"check preamplifier, replace if preamplifier is defective",Emerson,Model 320hp
79,meter reads off scale,"temperature compensator shorted, with solution below 7.0 ph (in auto t.c. mode).",check temperature compensator resistance,Emerson,Model 320hp
80,meter reads off scale,"reference and drain leads shorted, (mis-wired) (model 1002, 1003 only)",correct wiring.,Emerson,Model 320hp
81,meter reads off scale,broken glass electrode.,replace glass electrode.,Emerson,Model 320hp
82,meter reads off scale,plugged liquid junction.,replace liquid junction.,Emerson,Model 320hp
83,meter reads off scale,"drain and source leads between preamp and analyzer open (broken wires) (model 1002, 1003 only).",correct wiring.,Emerson,Model 320hp
84,meter reads off scale,broken reference electrode.,replace electrode and recharge ref. cell.,Emerson,Model 320hp
85,meter reads off scale,glass or reference lead open,repair wiring; check for coated or plugged liquid junction.,Emerson,Model 320hp
86,meter reads off scale,electrode not in process solution,make sure sensor is in solution,Emerson,Model 320hp
87,indication is stable between 3 and 6 ph regardless of actual sample ph,glass electrode cracked,replace glass electrode,Emerson,Model 320hp
88,"meter reads center scale (7 ph or o mv only, will not move or only a small distance (± 1ph for model 320b)",source and reference leads shorted (mis-wired).,repair wiring.,Emerson,Model 320hp
89,"meter reads center scale (7 ph or o mv only, will not move or only a small distance (± 1ph for model 320b)",t.c. open or disconnected auto t.c. mode.,check temperature compensator resistance,Emerson,Model 320hp
90,"meter reads center scale (7 ph or o mv only, will not move or only a small distance (± 1ph for model 320b)",badly coated or internally damaged (cracked) glass electrode.,clean or replace electrode.,Emerson,Model 320hp
91,"cannot read cpu information on module, such as rated type, actual type and status of the module. ",module might not be configured.,check the logical address of the module. check the slot and the configured slot.,Siemens,STEP 7
92,there is a problem with the connection to the receiver of the hw configuration,the online connection from the pg to the module (sdb addressee) could not be set up. the module recognized an error with the next communications call.,"clear the fault in the connection, change the operating mode of the module or clear the storage bottleneck on the module and then you can repeat the attempt to set up the connection in this dialog.",Siemens,STEP 7
93,there is a problem with the connection to the receiver of the hw configuration,connection hardware is faulty (e.g. connection cable removed),plug the cable in.,Siemens,STEP 7
94,there is a problem with the connection to the receiver of the hw configuration,module is in the wrong operating mode,check the operating mode.,Siemens,STEP 7
95,there is a problem with the connection to the receiver of the hw configuration,inconsistent hw configuration in the pg,"if the hw configuration is inconsistent in the pg, then:
1. acknowledge this dialog
2. correct the hw configuration in the configuration table
3. restart the ""load"" function",Siemens,STEP 7
96,there is a problem with the connection to the receiver of the hw configuration,"when loading the system data on to the memory card, this message is displayed if there are invalid sdbs in the sdb folder.",delete the system data in the simatic manager and then restart the hw config.,Siemens,STEP 7
