,Corrective Action,PLC,Model,fault,diagnostic
6,"standardize the temperature, verify temperature reading to be correct",emerson,model 54,"temp error high, temp error low",temperature rang
275,"the problem can be solved by deleting the file amdbase.log. search in your project path for the log file of the sybase database (amdbase.db). warning: if this file does not exist, then search the project for log or loc files.",siemen,step 7,data basis could started.,"occurs consequence message 256:94 details 256:24/256:63 executing function ""reorganize"" ""save as… consistency check"". occurs link lost sybase database."
1346,check the measuring range,siemen,s7-1500,underflow,value measuring rang
282,create s7 program or m7 program container.,siemen,step 7,creating configuration data failed.,s7 program m7 program container missing.
959,"(1) specify the head i/o number of the intelligent function module under control of the host cpu. 
(2) delete the interrupt pointer setting of the parameter.",mitsubishi,logic control,parameter error,"multiple cpu system, intelligent function module control another cpu specified interrupt pointer setting parameter."
944,reformat the memory card.,mitsubishi,logic control,icm ope. error,memory card format status incorrect.
505,extended status codes in these ranges provide more detail as to the connection failure.,allen brad,studio 5000 logix design,connection failur,connection module failed.
844,power up the devices at different times to avoid overloading the servers.,schneider,modicon tsx,slow response server causing timeout cli,server respond slowly overloaded many devices powered time.
796,check the mounting position,phoenix,axc 3050,temperatur,overtemperatur
782,check wiring.,phoenix,axc 3050,current,overload short circuit sensor supply actuator suppli
22,check sensor in buffers; replace if calibration unsuccessful.,emerson,model 54,high reference voltag,sensor process
142,remainders in the memory after manual closing of the server. the server allocates shared memory. the server needs approx. 400 kb shared memory. this should not be a problem nowadays.,siemen,step 7,system error s7otbl server client- communication.,"purpose server. s7dos recognizes four call types, 3 asynchronous. application continue run case asynchronous calls exported necessary, must proxy constantly ""listens"" line receives data arrives. plc sends data directly, start store applications swap-out file."
1308,"remove imasi23 and reinsert. if error recurs, replace the imasi23.",abb,symphoni,cold junction dis,calibration (0eh) problem report (from fc 215)
326,check the connections and reduce where appropriate. static connections can be converted into dynamic connections.,siemen,step 7,requested informations available.,number possible connections exceeded.
964,"check whether the parameter file version is . qpa, and whether the file contents are parameters.",mitsubishi,logic control,parameter error,"parameter file correspond q/qnacpu. alternatively, contents file parameters."
325,"example, this message appears if the number of outputs is 8192 byte by the cpu and you have defined a variable outside of this range. check the addresses with the definition of your variables.",siemen,step 7,error compilation modul s7-300. module ob1 could copied.,"message appears, defined variable (marker, in- output) module power range cpu."
390,user-defined action.,allen brad,studio 5000 logix design,major fault t04:c997 - program fault: user-defined fault.,user-defined major fault.
75,consult analyzer manual,emerson,model 320hp,electrode cannot standard,bias control analyzer improperly set mistakenly adjust
791,check the supply,phoenix,axc 3050,voltag,sensor supply present. i/o supply voltage failure.
775,check the invocation.,phoenix,axc 3050,unknown variable_id,incorrect variable id set_value read_value.
1382,check that not vehicle presence has been detected,siemen,logo!,inactive actu,external actuator act
683,check the wiring for ch2. replace the sensor if it is broken.,click,click plus plc,io1 ch2 burnout,ch2 analog i/o module i/o1 position senses burnout open circuit.
1397,position logo! cm as interface on the far right side.,siemen,logo!,interface voltage fail,"communication logo! system expansion modules, arranged right logo! cm interface expansion module, interrupted."
1017,"(1) change it to the qj71c24 (-r2) or qj71e71 (-b2) of function version a under control of the host cpu. 
(2) delete the remote password setting.",mitsubishi,logic control,remote pass error,qj71c24 (-r2) qj71e71 (-b2) function version b control another cpu specified multiple cpu system.
1128,execute override operation again.,yokogawa,centum,override communication error,"temporary communication error occurred, scs detected problem communication data"
99,delete any data no longer needed on the target drive,siemen,step 7,internal error 0400 station cannot generated.,storage capacity target dr
997,correct and write the network parameters.,mitsubishi,logic control,link parameter error,contents unique parameter ethernet correct.
600,"there is an active connection already made to the target module from some other originator, thereby disallowing a flash update from occurring.",allen brad,studio 5000 logix design,automatic firmware update failed: detected active connections.,active connection could made target module.
234,"use the function ""save as"" together with the option ""with reorganization (slowly)"".",siemen,step 7,repairable internal system error.,link could inserted. links distorted project.
919,reset the parameter i/o allocation setting to conform to the actual status of the special function modules.,mitsubishi,logic control,sp unit layer error,head x/y set parameter i/o allocation settings duplicates head x/y another module.
171,connect external power supply.,siemen,step 7,communication pc/ts adapter faulty.,pc/mpi cable plugged module provides power supply.
39,rearrange outputs,emerson,model 54,power output issu,wrong current output
1184,address any system service issues on the computer or server that did not pass and reverify.,rockwel,plantpax dc,system service check,system service good state.
1381,check power supply and connections,siemen,logo!,inactive actu,external actuator act
800,check the supply,phoenix,axc 3050,device hardwar,supply voltage faulty. i/o supply overload.
771,check the parameterization.,phoenix,axc 3050,error appl,reserved bit reserved code used parameterization.
38,verify that output is not being overloaded,emerson,model 54,power output issu,wrong current output
804,check the parameterization of the specified device.,phoenix,axc 3050,device softwar,parameter table invalid
893,"read the error common information with the peripheral device, and check and/or change the module that corresponds to the numerical value (module number) there.",mitsubishi,logic control,unit verify error,"i/o module information power changed. i/o module (including special function module) halfway removing, removed mounted operation."
811,remove the wire break.,phoenix,axc 3050,modul,wire break cable sensor signal line.
527,"check for these conditions:
• the controller is requesting services not supported by the module.
• the module in use (that is, the physical module) is different than the module specified in the i/o configuration tree and is therefore causing the connection or service to fail.
check the module in use and verify that it exactly matches the module specified in the i/o configuration tree of logix designer application. 
",allen brad,studio 5000 logix design,service request error: cip™ transport class supported.,indicates controller requesting transport class supported module.
1380,check fuses,siemen,logo!,power,plc switch
1231,retry to open.,yokogawa,stardom,failed open hse client i/f.,failed establish connection fcn fcj.
1181,review your computer configuration and make changes or upgrades to make sure that servers and workstations are within recommended limits.,rockwel,plantpax dc,os check,attributes operating system conform plantpax system recommendations.
394,"make changes, such as simplify programs, lengthen the period, or raise the relative priority.",allen brad,studio 5000 logix design,minor fault t06:c02 - watchdog fault: periodic task overlap. task scheduled finished executing.,periodic task overlap. task scheduled finished executing.
914,reduce to 4 or less.,mitsubishi,logic control,sp unit layer error,5 aj71qlp21 aj71qbr11 modules mounted.
1090,charge or replace the backup battry of ic memory card.,panason,fp0r,ic memory card back_x0002_up battery error,voltage backup battery ic memory card lowered. batt.led turn on.
994,correct and write the network parameters.,mitsubishi,logic control,link parameter error,"ethernet , melsecnet/h melsecnet/10 use network number."
692,check the wiring for ch1. replace the sensor if it is broken.,click,click plus plc,io3 ch1 burnout,ch1 analog i/o module i/o3 position senses burnout open circuit.
128,"please check the baud rate on the pg/pc via ""set pg/pc interface"" and the baud rate of the cpu configured.",siemen,step 7,triggered action cannot executed time. check step 7 applications exit necessary.,communications module probably already operated settings (e.g. different transmission rate).
842,update the server table when adding a replacement device with a new mac address.,schneider,modicon tsx,response server request ip address,server list device either rolename mac address.
464,contact rockwell automation technical support with the fault type and fault code logged.,allen brad,studio 5000 logix design,"minor fault t17:c12 - diagnostic fault: runtime diagnostic failed complete, please contact technical support fault type fault code.",internal controller diagnostic failed.
106,new modules can only be slotted after deleting slaves or their modules.,siemen,step 7,number slots cpu master system exceeded exhausted.,maximum number modules already configured.
758,restart the device.,phoenix,axc 3050,object index,"service (e.g., create_configuration) could executed due pdi communication malfunctions (number)."
1036,this suggests a bus switching module hardware fault. contact your nearest mitsubishi representative.,mitsubishi,logic control,can't execute chang,switching disabled bus switching module fault.
832,check the uplink connectivity for stacked devices.,schneider,modicon tsx,physical network hardware problem.,issue uplink cable connection.
