,Corrective Action,PLC,Model,fault,diagnostic
523,verify that the correct module is being targeted.,allen brad,studio 5000 logix design,module configuration rejected: data size small.,configuration module invalid. enough configuration data sent.
1050,"set the parameter valid drive to the standard rom. then, switch power on again and perform boot operation from the standard rom.",mitsubishi,logic control,boot ok,storage data onto rom completed normally automatic write standard rom.
1130,the cpu module on the standby side takes over control. replace the cpu module that was stopped.,yokogawa,centum,transfer control right safety control st,error occurred cpu module one side.
1284,try to restart the remote access client service.,abb,800xa,no_rac_unit,internal error. remote access client unit address.
860,"(1) take noise reduction measures.
(2) reset the cpu module and run it again. if the same error is displayed again, this suggests a cpu hardware fault. ",mitsubishi,logic control,end execut,entire program executed without execution end instruction.
818,"check whether the io-link device is connected correctly.
check the cabling
replace the io-link device.",phoenix,axc 3050,"modular devices, lower-level bus (sub-bus)",module found port configured io-link (after 5 seconds following port configuration)
442,"clear the fault.
if a safety task signature exists, safety memory is reinitialized and the safety task begins executing.
if a safety task signature does not exist, you must redownload the program to allow the safety task to run.
reinsert the safety partner if it was removed.",allen brad,studio 5000 logix design,"major fault t14:c01 - safety task fault: task watchdog expired. may caused infinite loop, complex program, higher priority task, removal safety partner.","safety task watchdog expired. safety task completed specified period. program error caused infinite loop, program complex run quickly specified, higher priority task keeping task finishing, safety partner removed."
1053,"change to prog. mode and correct the program so that one relay is not used for two or more ot instructions,or, set the duplicated output to “enable” in system register20.",panason,fp0r,duplicated output error,two ot(out) instructions kp(keep) instructions programmed using relay.also occurs using timer/counter number.
370,"check the following:
• the start value is between 1 and the data size of the source.
• the start value plus the quantity value is less than or equal to the data size of the source.",allen brad,studio 5000 logix design,minor fault t04:c56 - program fault: invalid start and/or quantity value.,start quantity value invalid.
1122,start soe viewer on seng and upload the events in the file.,yokogawa,centum,notification saving soe trip signal file sc,soe trip signal file saved scs.
1295,use import/export to move the permission from the provider to the subscriber.,abb,800xa,permission_miss,permission used section definition exist subscriber system.
1317,unconfigured channel reference error (unused channel not functioning properly). the i/o module and all configured channels will continue to function properly.,abb,symphoni,unconfigured reference error,calibration (02h) problem report (from fc 215)
258,check whether a block of this type and this number may be copied onto an automation system of the present type.,siemen,step 7,unable copy block %2. want continue copy procedure?,block type number permitted automation system.
872,this suggests a hardware fault for the special function module that was accessed. contact your nearest mitsubishi representative.,mitsubishi,logic control,sp unit,"parameter i/o allocation made, return signal special function module initial communication."
100,"in hw config analyze the hw configuration via the menu ""station\check consistency"".",siemen,step 7,inconsistent hardware configuration programming device.,inconsistent hw configuration pg
308,"you can regenerate the fb49 and db49 in the hardware-configuration as follows:
1. highlight the cpu with the cursor. under ""extras > reporting system errors... > register: general"", you can now newly generate the diagnostics- fb and the diagnostics-db. finally, save and translate the hardware configuration once more.
2. you can also newly generate the diagnostics-fb and the diagnostics-db by means of ""save and translate"" if you change the following setting: under ""station > properties ... > register: settings"" the option ""calling when saving and translating"" has to be activated.",siemen,step 7,reporting system error: internal error ocur,internal error occurs reference data regenerated.
335,reconfigure the number of communication modules on the 1768 bus side of the controller,allen brad,studio 5000 logix design,major fault t01:c16 - power-up fault: i/o communications configuration fault detected.,i/o communication configuration fault detected. (compactlogix™ 1768-l4x controllers only.)
607,verify that the path to this module is a valid length.,allen brad,studio 5000 logix design,connection request error: invalid path module.,controller attempting set connection module received error.
474,contact rockwell automation technical support with the fault type and fault code logged.,allen brad,studio 5000 logix design,"minor fault t17:c22 - diagnostic fault: runtime diagnostic failed complete, please contact technical support fault type fault code.",internal controller diagnostic failed.
921,"change the network module to aj71qlp21, aj71qbr11 module.",mitsubishi,logic control,sp unit layer error,network module a(1s)j71lp21 a(1s)j71br11 dedicated anucpu mounted.
1016,mount qj71c24 (-r2) or qj71e71 (-b2) of function version b in the position specified as the head i/o no. of the remote password file.,mitsubishi,logic control,remote pass error,position specified head i/o number remote password file incorrect due module mounted.
725,connect the click programming software to check the error.,click,click plus plc,err,error plc.
753,restart the device.,phoenix,axc 3050,faulty eeprom,device reporting serious error.
1350,feed supply voltage l+,siemen,s7-1500,load voltage miss,supply voltage l+
166,"pg/pc interface - mpi properties
->delete all unnecessary drivers
->re-insert and parameterize drivers",siemen,step 7,online: driver wrong configured valid parameter registri,mphsa card: step 7 version (also upgrade corrections) - win95 hardware recognition run - drivers (also cp…) tried - another card installed pg/pc - sometimes hardware defect
976,correct and write the network parameters.,mitsubishi,logic control,link parameter error,"although qnacpu control station master station, network parameters written."
257,put the automation system into an operating mode that permits copying.,siemen,step 7,unable copy block %2. want continue copy procedure?,automation system run operating mode.
20,check the connection between the preamplifier and controller.,emerson,model 54,high input voltag,open connection preamplifier controller.
622,immediately isolate the offending station. it may be necessary to turn it off or disconnect it from the network.,ge,series 90-30,lan duplicate mac address,frame received source mac address station's mac address. stations network must unique mac address.
